tower_id,column_id,column_name,level_id,module_id,counter_in_module,counter_id,x_center_m,y_center_m,z_center_m,x_lo_m,x_hi_m,y_lo_m,y_hi_m,z_lo_m,z_hi_m
1,1,C1,1,1,1,1,0.6562,5.418,0.752,0.3937,0.9187,4.644,6.192,0.0,1.504
1,1,C1,1,1,2,2,0.3938,5.418,0.752,0.1313,0.6562,4.644,6.192,0.0,1.504
1,1,C1,1,1,3,3,0.6562,3.87,0.752,0.3937,0.9187,3.096,4.644,0.0,1.504
1,1,C1,1,1,4,4,0.3938,3.87,0.752,0.1313,0.6562,3.096,4.644,0.0,1.504
1,1,C1,1,1,5,5,0.6562,2.322,0.752,0.3937,0.9187,1.548,3.096,0.0,1.504
1,1,C1,1,1,6,6,0.3938,2.322,0.752,0.1313,0.6562,1.548,3.096,0.0,1.504
1,1,C1,1,1,7,7,0.3938,0.774,0.752,0.1313,0.6562,0.0,1.548,0.0,1.504
1,1,C1,1,1,8,8,0.6562,0.774,0.752,0.3937,0.9187,0.0,1.548,0.0,1.504
1,1,C1,2,2,1,9,0.6562,5.418,2.256,0.3937,0.9187,4.644,6.192,1.504,3.008
1,1,C1,2,2,2,10,0.3938,5.418,2.256,0.1313,0.6562,4.644,6.192,1.504,3.008
1,1,C1,2,2,3,11,0.6562,3.87,2.256,0.3937,0.9187,3.096,4.644,1.504,3.008
1,1,C1,2,2,4,12,0.3938,3.87,2.256,0.1313,0.6562,3.096,4.644,1.504,3.008
1,1,C1,2,2,5,13,0.6562,2.322,2.256,0.3937,0.9187,1.548,3.096,1.504,3.008
1,1,C1,2,2,6,14,0.3938,2.322,2.256,0.1313,0.6562,1.548,3.096,1.504,3.008
1,1,C1,2,2,7,15,0.3938,0.774,2.256,0.1313,0.6562,0.0,1.548,1.504,3.008
1,1,C1,2,2,8,16,0.6562,0.774,2.256,0.3937,0.9187,0.0,1.548,1.504,3.008
1,1,C1,3,3,1,17,0.6562,5.418,3.76,0.3937,0.9187,4.644,6.192,3.008,4.512
1,1,C1,3,3,2,18,0.3938,5.418,3.76,0.1313,0.6562,4.644,6.192,3.008,4.512
1,1,C1,3,3,3,19,0.6562,3.87,3.76,0.3937,0.9187,3.096,4.644,3.008,4.512
1,1,C1,3,3,4,20,0.3938,3.87,3.76,0.1313,0.6562,3.096,4.644,3.008,4.512
1,1,C1,3,3,5,21,0.6562,2.322,3.76,0.3937,0.9187,1.548,3.096,3.008,4.512
1,1,C1,3,3,6,22,0.3938,2.322,3.76,0.1313,0.6562,1.548,3.096,3.008,4.512
1,1,C1,3,3,7,23,0.3938,0.774,3.76,0.1313,0.6562,0.0,1.548,3.008,4.512
1,1,C1,3,3,8,24,0.6562,0.774,3.76,0.3937,0.9187,0.0,1.548,3.008,4.512
