azimuth_deg,intensity_cm2_s_deg
0.0,0.000000000000e+00
1.0,8.850241545894e-11
2.0,8.850241545894e-11
3.0,8.637681159420e-11
4.0,9.024154589372e-11
5.0,9.024154589372e-11
6.0,8.888888888889e-11
7.0,9.400966183575e-11
8.0,9.207729468599e-11
9.0,9.207729468599e-11
10.0,9.410628019324e-11
11.0,9.536231884058e-11
12.0,9.536231884058e-11
13.0,9.516908212560e-11
14.0,1.011594202899e-10
15.0,1.011594202899e-10
16.0,1.000000000000e-10
17.0,1.007729468599e-10
18.0,1.009661835749e-10
19.0,1.009661835749e-10
20.0,9.864734299517e-11
21.0,1.021256038647e-10
22.0,1.021256038647e-10
23.0,1.034782608696e-10
24.0,1.055072463768e-10
25.0,1.055072463768e-10
26.0,1.062801932367e-10
27.0,1.086956521739e-10
28.0,1.086956521739e-10
29.0,1.053140096618e-10
30.0,1.102415458937e-10
31.0,1.097584541063e-10
32.0,1.097584541063e-10
33.0,1.124637681159e-10
34.0,1.089855072464e-10
35.0,1.089855072464e-10
36.0,1.128502415459e-10
37.0,1.110144927536e-10
38.0,1.110144927536e-10
39.0,1.089855072464e-10
40.0,1.169082125604e-10
41.0,1.169082125604e-10
42.0,1.184541062802e-10
43.0,1.158454106280e-10
44.0,1.190338164251e-10
45.0,1.190338164251e-10
46.0,1.191304347826e-10
47.0,1.203864734300e-10
48.0,1.203864734300e-10
49.0,1.202898550725e-10
50.0,1.196135265700e-10
51.0,1.196135265700e-10
52.0,1.189371980676e-10
53.0,1.241545893720e-10
54.0,1.220289855072e-10
55.0,1.220289855072e-10
56.0,1.246376811594e-10
57.0,1.263768115942e-10
58.0,1.263768115942e-10
59.0,1.290821256039e-10
60.0,1.236714975845e-10
61.0,1.236714975845e-10
62.0,1.257004830918e-10
63.0,1.263768115942e-10
64.0,1.263768115942e-10
65.0,1.307246376812e-10
66.0,1.262801932367e-10
67.0,1.254106280193e-10
68.0,1.254106280193e-10
69.0,1.298550724638e-10
70.0,1.265700483092e-10
71.0,1.265700483092e-10
72.0,1.269565217391e-10
73.0,1.251207729469e-10
74.0,1.251207729469e-10
75.0,1.256038647343e-10
76.0,1.246376811594e-10
77.0,1.246376811594e-10
78.0,1.229951690821e-10
79.0,1.233816425121e-10
80.0,1.210628019324e-10
81.0,1.210628019324e-10
82.0,1.213526570048e-10
83.0,1.200966183575e-10
84.0,1.200966183575e-10
85.0,1.199033816425e-10
86.0,1.188405797101e-10
87.0,1.188405797101e-10
88.0,1.161352657005e-10
89.0,1.159420289855e-10
90.0,1.140096618357e-10
91.0,1.140096618357e-10
92.0,1.090821256039e-10
93.0,1.099516908213e-10
94.0,1.099516908213e-10
95.0,1.049275362319e-10
96.0,1.055072463768e-10
97.0,1.055072463768e-10
98.0,1.016425120773e-10
99.0,9.951690821256e-11
100.0,9.951690821256e-11
101.0,9.951690821256e-11
102.0,9.536231884058e-11
103.0,9.603864734300e-11
104.0,9.603864734300e-11
105.0,9.053140096618e-11
106.0,9.130434782609e-11
107.0,9.130434782609e-11
