energy_gev,relative_count
1.122018454302e+00,2.143677076518e-03
1.412537544623e+00,2.630560246686e-03
1.778279410039e+00,3.204516694327e-03
2.238721138568e+00,3.791214977873e-03
2.818382931264e+00,4.686427507847e-03
3.548133892336e+00,5.267876129954e-03
4.466835921510e+00,6.656146251778e-03
5.623413251903e+00,8.167925065698e-03
7.079457843841e+00,9.950067581237e-03
8.912509381337e+00,1.294528883316e-02
1.122018454302e+01,1.600203576922e-02
1.412537544623e+01,1.921057288133e-02
1.778279410039e+01,2.306244753800e-02
2.238721138568e+01,2.788977933464e-02
2.818382931264e+01,3.251709537198e-02
3.548133892336e+01,3.628530620844e-02
4.466835921510e+01,4.230556105964e-02
5.623413251903e+01,4.790333094805e-02
7.079457843841e+01,5.750833479612e-02
8.912509381337e+01,6.278068218456e-02
1.122018454302e+02,6.656146251778e-02
1.412537544623e+02,7.005595828847e-02
1.778279410039e+02,6.954573076962e-02
2.238721138568e+02,6.754171162912e-02
2.818382931264e+02,6.186953103905e-02
3.548133892336e+02,5.878338647930e-02
4.466835921510e+02,5.078816693966e-02
5.623413251903e+02,3.763603019392e-02
7.079457843841e+02,2.892797903125e-02
8.912509381337e+02,2.128064371151e-02
1.122018454302e+03,1.476571908955e-02
1.412537544623e+03,1.002306700533e-02
1.778279410039e+03,6.704979572667e-03
2.238721138568e+03,4.108649048298e-03
2.818382931264e+03,2.611401501867e-03
3.548133892336e+03,1.978056666481e-03
4.466835921510e+03,8.349021017093e-04
5.623413251903e+03,4.825477736214e-04
7.079457843841e+03,2.830051146662e-04
8.912509381337e+03,1.185813817794e-04
1.122018454302e+04,8.227849666306e-05
1.412537544623e+04,4.420232140671e-05
1.778279410039e+04,2.809439481216e-05
2.238721138568e+04,7.990757208811e-06
2.818382931264e+04,6.008670809587e-06
3.548133892336e+04,4.019529652524e-06
4.466835921510e+04,4.019529652524e-06
5.623413251903e+04,1.002306700533e-06
7.079457843841e+04,1.002306700533e-06
8.912509381337e+04,1.002306700533e-06
1.122018454302e+05,1.002306700533e-06
1.412537544623e+05,1.002306700533e-06
1.778279410039e+05,1.002306700533e-06
2.238721138568e+05,1.002306700533e-06
2.818382931264e+05,1.002306700533e-06
3.548133892336e+05,1.002306700533e-06
4.466835921510e+05,1.002306700533e-06
5.623413251903e+05,1.002306700533e-06
7.079457843841e+05,1.002306700533e-06
8.912509381337e+05,1.002306700533e-06
