bin_index,azimuth_lo_deg,azimuth_hi_deg,azimuth_center_deg,zenith_lo_deg,zenith_hi_deg,zenith_center_deg,slant_rock_m,intensity_raw,solid_angle_sr,fig7_lvd_azimuth_center_deg
1,0.0,360.0,180.0,0.0,4.0,2.0,3640.0,1772.0,0.015305523616500533,223.0
2,0.0,30.0,15.0,4.0,8.0,6.0,3414.0,639.0,0.0038201669897455254,28.0
3,30.0,60.0,45.0,4.0,8.0,6.0,3476.0,625.0,0.0038201669897455254,358.0
4,60.0,90.0,75.0,4.0,8.0,6.0,3596.0,503.0,0.0038201669897455254,328.0
5,90.0,120.0,105.0,4.0,8.0,6.0,3730.0,370.0,0.0038201669897455254,298.0
6,120.0,150.0,135.0,4.0,8.0,6.0,3765.0,352.0,0.0038201669897455254,268.0
7,150.0,180.0,165.0,4.0,8.0,6.0,3733.0,391.0,0.0038201669897455254,238.0
8,180.0,210.0,195.0,4.0,8.0,6.0,3785.0,382.0,0.0038201669897455254,208.0
9,210.0,240.0,225.0,4.0,8.0,6.0,3782.0,400.0,0.0038201669897455254,178.0
10,240.0,270.0,255.0,4.0,8.0,6.0,3669.0,437.0,0.0038201669897455254,148.0
11,270.0,300.0,285.0,4.0,8.0,6.0,3532.0,471.0,0.0038201669897455254,118.0
12,300.0,330.0,315.0,4.0,8.0,6.0,3436.0,560.0,0.0038201669897455254,88.0
13,330.0,360.0,345.0,4.0,8.0,6.0,3430.0,657.0,0.0038201669897455254,58.0
14,0.0,20.0,10.0,8.0,12.0,10.0,3254.0,827.0,0.004230841472362624,33.0
15,20.0,40.0,30.0,8.0,12.0,10.0,3295.0,861.0,0.004230841472362624,13.0
16,40.0,60.0,50.0,8.0,12.0,10.0,3361.0,865.0,0.004230841472362624,353.0
17,60.0,80.0,70.0,8.0,12.0,10.0,3465.0,643.0,0.004230841472362624,333.0
18,80.0,100.0,90.0,8.0,12.0,10.0,3615.0,496.0,0.004230841472362624,313.0
19,100.0,120.0,110.0,8.0,12.0,10.0,3784.0,407.0,0.004230841472362624,293.0
20,120.0,140.0,130.0,8.0,12.0,10.0,3754.0,365.0,0.004230841472362624,273.0
