fig7_lvd_azimuth_deg,rock_int_profile_raw_solid_weighted,fit_scale_to_cm2_s_deg,scaled_profile_cm2_s_deg,paper_fig7_curve_cm2_s_deg
0,549.8057358531676,1.605955809938678e-13,8.829637158310046e-11,0.0
1,,1.605955809938678e-13,,8.850241545894e-11
2,603.5963868986034,1.605955809938678e-13,9.693491243978064e-11,8.850241545894e-11
3,,1.605955809938678e-13,,8.63768115942e-11
4,604.5242477445095,1.605955809938678e-13,9.708392279141038e-11,9.024154589372e-11
5,,1.605955809938678e-13,,9.024154589372e-11
6,605.2269891293154,1.605955809938678e-13,9.719677995239172e-11,8.888888888889e-11
7,,1.605955809938678e-13,,9.400966183575e-11
8,633.8352067885121,1.605955809938678e-13,1.0179113328856945e-10,9.207729468599e-11
9,,1.605955809938678e-13,,9.207729468599e-11
10,603.6984630708035,1.605955809938678e-13,9.695130542196075e-11,9.410628019324e-11
11,,1.605955809938678e-13,,9.536231884058e-11
12,648.8877157308548,1.605955809938678e-13,1.0420849970758037e-10,9.536231884058e-11
13,,1.605955809938678e-13,,9.51690821256e-11
14,594.7190751100009,1.605955809938678e-13,9.550925539542629e-11,1.011594202899e-10
15,,1.605955809938678e-13,,1.011594202899e-10
16,654.5699026814249,1.605955809938678e-13,1.0512103382222293e-10,1e-10
17,,1.605955809938678e-13,,1.007729468599e-10
18,630.627474693538,1.605955809938678e-13,1.0127598568910441e-10,1.009661835749e-10
19,,1.605955809938678e-13,,1.009661835749e-10
20,624.7057237015814,1.605955809938678e-13,1.0032497864805013e-10,9.864734299517e-11
21,,1.605955809938678e-13,,1.021256038647e-10
22,644.3348388955235,1.605955809938678e-13,1.0347732780701681e-10,1.021256038647e-10
23,,1.605955809938678e-13,,1.034782608696e-10
24,610.5492431931682,1.605955809938678e-13,9.805151043597313e-11,1.055072463768e-10
25,,1.605955809938678e-13,,1.055072463768e-10
26,666.3877397858508,1.605955809938678e-13,1.0701892623809911e-10,1.062801932367e-10
27,,1.605955809938678e-13,,1.086956521739e-10
28,639.1030676235263,1.605955809938678e-13,1.0263712845996339e-10,1.086956521739e-10
29,,1.605955809938678e-13,,1.053140096618e-10
30,689.5593353632968,1.605955809938678e-13,1.1074018209241399e-10,1.102415458937e-10
