azimuth_deg,intensity_cm2_s_deg
2.117647,9.652173913043e-11
6.050420,9.236714975845e-11
9.983193,9.719806763285e-11
13.915966,9.913043478261e-11
17.848739,1.037681159420e-10
22.084034,1.056038647343e-10
26.016807,1.097584541063e-10
29.949580,1.115942028986e-10
33.882353,1.140096618357e-10
38.117647,1.186473429952e-10
42.050420,1.214492753623e-10
45.983193,1.223188405797e-10
49.915966,1.242512077295e-10
53.848739,1.241545893720e-10
58.084034,1.265700483092e-10
62.016807,1.271497584541e-10
65.949580,1.263768115942e-10
69.882353,1.262801932367e-10
74.117647,1.244444444444e-10
78.050420,1.223188405797e-10
81.983193,1.209661835749e-10
85.915966,1.173913043478e-10
89.848739,1.150724637681e-10
94.084034,1.096618357488e-10
98.016807,1.002898550725e-10
101.949580,9.275362318841e-11
105.882353,8.560386473430e-11
110.117647,7.874396135266e-11
114.050420,7.120772946860e-11
117.983193,6.376811594203e-11
121.915966,5.816425120773e-11
125.848739,5.159420289855e-11
130.084034,4.705314009662e-11
134.016807,4.676328502415e-11
137.949580,4.995169082126e-11
141.882353,5.362318840580e-11
146.117647,5.681159420290e-11
150.050420,6.212560386473e-11
153.983193,6.531400966184e-11
157.915966,6.898550724638e-11
161.848739,7.082125603865e-11
166.084034,6.985507246377e-11
170.016807,6.734299516908e-11
173.949580,6.550724637681e-11
177.882353,6.077294685990e-11
182.117647,8.144927536232e-11
186.050420,8.280193236715e-11
189.983193,9.236714975845e-11
193.915966,9.671497584541e-11
197.848739,9.555555555556e-11
202.084034,9.130434782609e-11
206.016807,8.299516908213e-11
209.949580,7.333333333333e-11
213.882353,6.415458937198e-11
218.117647,5.797101449275e-11
222.050420,5.091787439614e-11
225.983193,4.376811594203e-11
229.915966,3.864734299517e-11
233.848739,3.420289855072e-11
238.084034,3.004830917874e-11
242.016807,2.579710144928e-11
245.949580,2.280193236715e-11
249.882353,2.096618357488e-11
254.117647,1.874396135266e-11
258.050420,1.739130434783e-11
261.983193,1.739130434783e-11
265.915966,1.652173913043e-11
269.848739,1.768115942029e-11
274.084034,1.729468599034e-11
278.016807,1.942028985507e-11
281.949580,2.106280193237e-11
285.882353,2.202898550725e-11
290.117647,2.454106280193e-11
294.050420,2.589371980676e-11
297.983193,2.821256038647e-11
301.915966,3.101449275362e-11
305.848739,3.342995169082e-11
310.084034,3.497584541063e-11
314.016807,3.671497584541e-11
317.949580,4.135265700483e-11
321.882353,4.714975845411e-11
326.117647,5.294685990338e-11
330.050420,5.632850241546e-11
333.983193,5.980676328502e-11
337.915966,6.260869565217e-11
341.848739,6.550724637681e-11
346.084034,6.937198067633e-11
350.016807,7.526570048309e-11
353.949580,8.009661835749e-11
357.882353,7.700483091787e-11
