cos_zenith,azimuth_deg,relative_height
0.870110,0.024186,1.000000000000e+00
0.790037,0.008062,8.307692307692e-01
1.000000,0.000000,5.846153846154e-01
0.660146,0.032248,3.111111111111e-01
0.719304,182.759011,2.564102564103e-01
0.948737,189.626499,2.461538461538e-01
0.628946,333.941823,1.982905982906e-01
0.966658,291.848734,1.829059829060e-01
0.482638,314.883235,1.794871794872e-01
0.776250,299.487487,1.726495726496e-01
0.564479,159.243476,1.726495726496e-01
0.263063,261.980336,1.692307692308e-01
0.880619,130.788618,1.606837606838e-01
0.602439,86.658528,1.538461538462e-01
0.895234,235.225218,1.521367521368e-01
